,address,kbytes,rss,dirty,mode,mapping
395,00007f2e093e9000,4,4,0,r----,libplds4.so
396,00007f2e093ea000,4,4,0,r-x--,libplds4.so
397,00007f2e093eb000,4,0,0,r----,libplds4.so
398,00007f2e093ec000,4,0,0,r----,libplds4.so
399,00007f2e093ed000,4,0,0,rw---,libplds4.so
400,00007f2e093ee000,8,8,0,r----,libplc4.so
401,00007f2e093f0000,8,4,0,r-x--,libplc4.so
402,00007f2e093f2000,4,0,0,r----,libplc4.so
403,00007f2e093f3000,4,0,0,r----,libplc4.so
404,00007f2e093f4000,4,0,0,rw---,libplc4.so
405,00007f2e093f5000,52,52,0,r----,libnssutil3.so
406,00007f2e09402000,72,8,0,r-x--,libnssutil3.so
407,00007f2e09414000,48,0,0,r----,libnssutil3.so
408,00007f2e09420000,28,0,0,r----,libnssutil3.so
409,00007f2e09427000,4,0,0,rw---,libnssutil3.so
410,00007f2e09428000,104,104,0,r----,libnss3.so
411,00007f2e09442000,896,24,0,r-x--,libnss3.so
412,00007f2e09522000,232,8,0,r----,libnss3.so
413,00007f2e0955c000,24,0,0,r----,libnss3.so
414,00007f2e09562000,12,0,0,rw---,libnss3.so
415,00007f2e09565000,4,0,0,rw---,[ anon ]
416,00007f2e09566000,4,4,0,r----,libsystemconf.so
417,00007f2e09567000,4,4,0,r-x--,libsystemconf.so
418,00007f2e09568000,4,4,0,r----,libsystemconf.so
419,00007f2e09569000,4,0,0,r----,libsystemconf.so
420,00007f2e0956a000,4,0,0,rw---,libsystemconf.so
421,00007f2e0956b000,8,8,0,r----,libmanagement.so
422,00007f2e0956d000,4,4,0,r-x--,libmanagement.so
423,00007f2e0956e000,4,4,0,r----,libmanagement.so
424,00007f2e0956f000,4,0,0,r----,libmanagement.so
425,00007f2e09570000,4,4,4,rw---,libmanagement.so
426,00007f2e09571000,12,12,0,r----,libnet.so
427,00007f2e09574000,32,28,0,r-x--,libnet.so
428,00007f2e0957c000,8,4,0,r----,libnet.so
429,00007f2e0957e000,4,4,4,r----,libnet.so
430,00007f2e0957f000,4,4,4,rw---,libnet.so
431,00007f2e09580000,4,0,0,-----,[ anon ]
432,00007f2e09581000,16,0,0,-----,[ anon ]
433,00007f2e09585000,1008,36,36,rw---,[ anon ]
434,00007f2e09681000,4,0,0,-----,[ anon ]
435,00007f2e09682000,16,0,0,-----,[ anon ]
436,00007f2e09686000,1008,112,112,rw---,[ anon ]
437,00007f2e09782000,4,0,0,-----,[ anon ]
438,00007f2e09783000,16,0,0,-----,[ anon ]
439,00007f2e09787000,1008,48,48,rw---,[ anon ]
440,00007f2e09883000,4,0,0,-----,[ anon ]
441,00007f2e09884000,16,0,0,-----,[ anon ]
442,00007f2e09888000,1008,68,68,rw---,[ anon ]
443,00007f2e09984000,4,0,0,-----,[ anon ]
444,00007f2e09985000,16,0,0,-----,[ anon ]
445,00007f2e09989000,1008,8,8,rw---,[ anon ]
446,00007f2e09a85000,4,0,0,-----,[ anon ]
447,00007f2e09a86000,16,0,0,-----,[ anon ]
448,00007f2e09a8a000,1008,8,8,rw---,[ anon ]
449,00007f2e09b86000,4,0,0,-----,[ anon ]
